circuitId,circuitRef,name,location,country,lat,lng,alt,url,circuit_image,country_flag,length
47,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,57.2653,13.6042,153,http://en.wikipedia.org/wiki/Scandinavian_Raceway,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Scandinavian_Raceway.svg/2560px-Scandinavian_Raceway.svg.png,https://www.countryflags.com/wp-content/uploads/sweden-flag-3d-icon-256.png,4.025 km
48,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,http://en.wikipedia.org/wiki/Mosport,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Mosport-CTMP.svg/800px-Mosport-CTMP.svg.png,https://www.countryflags.com/wp-content/uploads/canada-flag-3d-icon-256.png,3.957 km
49,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,79,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,https://static.wikia.nocookie.net/f1wikia/images/b/b6/Circuit_MontjuichPark.png/revision/latest?cb=20160413012746,https://www.countryflags.com/wp-content/uploads/spain-flag-3d-icon-256.png,3.791 km
50,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,139,http://en.wikipedia.org/wiki/Nivelles-Baulers,https://upload.wikimedia.org/wikipedia/commons/0/0f/Circuit_Nivelles-Baulers.png,https://www.countryflags.com/wp-content/uploads/belgium-flag-3d-icon-256.png,3.724 km
51,charade,Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,http://en.wikipedia.org/wiki/Charade_Circuit,https://upload.wikimedia.org/wikipedia/commons/c/ce/Circuit_Charade_1958_1988.png,https://www.countryflags.com/wp-content/uploads/france-flag-3d-icon-256.png,3.975 km
52,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,214,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Circuit_Mont-Tremblant_Track_Map.svg/1200px-Circuit_Mont-Tremblant_Track_Map.svg.png,https://www.countryflags.com/wp-content/uploads/canada-flag-3d-icon-256.png,4.218 km
53,essarts,Rouen-Les-Essarts,Rouen,France,49.3306,1.00458,81,http://en.wikipedia.org/wiki/Rouen-Les-Essarts,https://static.wikia.nocookie.net/f1wikia/images/c/c3/Rouen_Les_Essarts_1955.png/revision/latest?cb=20160528123830,https://www.countryflags.com/wp-content/uploads/france-flag-3d-icon-256.png,5.543 km
54,lemans,Le Mans,Le Mans,France,47.95,0.224231,67,http://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,https://upload.wikimedia.org/wikipedia/commons/d/d5/Circuit_Le_Mans_Bugatti.png,https://www.countryflags.com/wp-content/uploads/france-flag-3d-icon-256.png,4.185 km
55,reims,Reims-Gueux,Reims,France,49.2542,3.93083,88,http://en.wikipedia.org/wiki/Reims-Gueux,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Circuit-Reims-1954.png/500px-Circuit-Reims-1954.png,https://www.countryflags.com/wp-content/uploads/france-flag-3d-icon-256.png,7.152 km
56,george,Prince George Circuit,Eastern Cape Province,South Africa,-33.0486,27.8736,15,http://en.wikipedia.org/wiki/Prince_George_Circuit,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Prince_George_Circuit.svg/800px-Prince_George_Circuit.svg.png,https://www.countryflags.com/wp-content/uploads/south-africa-flag-3d-icon-256.png,3.92 km
